   r (kpc/h)    Vrot   N(i)  Vrot(measured)   %error        Vcirc       Vc%error       vphirms/vphirm_th Vr_rms/Vr_rms_th   Vz_rms/Vz_rms_th  
    0.24920    0.00000    0.00000    0.00000        NaN   21.27841    0.00000    0.00004    0.00004    0.00006
    0.25200    0.00000    0.00000    0.00000        NaN   21.47272    0.00000    0.00004    0.00004    0.00006
    0.25480    0.00000    0.00000    0.00000        NaN   21.66647    0.00000    0.00004    0.00004    0.00006
    0.25760    0.00000    0.00000    0.00000        NaN   21.85966    0.00000    0.00004    0.00004    0.00006
    0.26040    0.00000    0.00000    0.00000        NaN   22.05231    0.00000    0.00004    0.00004    0.00006
    0.26320    0.00000    0.00000    0.00000        NaN   22.24442    0.00000    0.00004    0.00004    0.00006
    0.26600    0.00000    0.00000    0.00000        NaN   22.43598    0.00000    0.00004    0.00004    0.00006
    0.26880    0.00000    0.00000    0.00000        NaN   22.62701    0.00754    0.00004    0.00004    0.00006
    0.27160    0.00000    0.00000    0.00000        NaN   22.81752   -0.00741    0.00004    0.00004    0.00006
    0.27440    0.00000    0.00000    0.00000        NaN   23.00750    0.00000    0.00004    0.00004    0.00006
    0.27720    0.00000    0.00000    0.00000        NaN   23.19695    0.00000    0.00004    0.00004    0.00006
    0.28000    0.00000    0.00000    0.00000        NaN   23.38589    0.00000    0.00004    0.00004    0.00006
    0.28280    0.00000    0.00000    0.00000        NaN   23.57433    0.00694    0.00004    0.00004    0.00006
    0.28560    0.00000    0.00000    0.00000        NaN   23.76225   -0.00683    0.00004    0.00004    0.00006
    0.28840    0.00000    0.00000    0.00000        NaN   23.94967    0.00000    0.00004    0.00004    0.00007
    0.29120    0.00000    0.00000    0.00000        NaN   24.13658    0.00000    0.00004    0.00004    0.00007
    0.29400    0.00000    0.00000    0.00000        NaN   24.32300    0.00000    0.00004    0.00004    0.00007
    0.29680    0.00000    0.00000    0.00000        NaN   24.50893    0.00000    0.00004    0.00004    0.00007
    0.29960   14.96972    1.00000  -41.59109    3.77835   24.69437    0.00000    0.00015    0.00004    0.00045
    0.30240   15.06637    1.00000   65.26600   -3.33190   24.87932    0.00000    0.00009    0.00041    0.00007
    0.30520   15.16330    1.00000   16.97897   -0.11974   25.06380    0.00000    0.00006    0.00004    0.00007
    0.30800   15.26046    1.00000   31.80919   -1.08442   25.24779   -0.00605    0.00016    0.00004    0.00020
